Layer No.,Layer Type,Input Size,Kernel Size,Stride,Padding,Filter Number,Output Size
1,Conv,448x448x3,7,2,3,64,224x224x64
2,Max_Pool,224x224x64,2,2,0,,112x112x64
3,Conv,112x112x64,3,1,1,192,112x112x192
4,Max_Pool,112x112x192,2,2,0,,56x56x192
5,Conv,56x56x192,1,1,0,128,56x56x128
6,Conv,56x56x128,3,1,1,256,56x56x256
7,Conv,56x56x256,1,1,0,256,56x56x256
8,Conv,56x56x256,3,1,1,512,56x56x512
9,Max_Pool,56x56x512,2,2,0,,28x28x512
10,Conv,28x28x512,1,1,0,256,28x28x256
11,Conv,28x28x256,3,1,1,512,28x28x512
12,Conv,28x28x512,1,1,0,256,28x28x256
13,Conv,28x28x256,3,1,1,512,28x28x512
14,Conv,28x28x512,1,1,0,256,28x28x256
15,Conv,28x28x256,3,1,1,512,28x28x512
16,Conv,28x28x512,1,1,0,256,28x28x256
17,Conv,28x28x256,3,1,1,512,28x28x512
18,Conv,28x28x512,1,1,0,512,28x28x512
19,Conv,28x28x512,3,1,1,1024,28x28x1024
20,Max_Pool,28x28x1024,2,2,0,,14x14x1024
21,Conv,14x14x1024,1,1,0,512,14x14x512
22,Conv,14x14x512,3,1,1,1024,14x14x1024
23,Conv,14x14x1024,1,1,0,512,14x14x512
24,Conv,14x14x512,3,1,1,1024,14x14x1024
25,Conv,14x14x1024,3,1,1,1024,14x14x1024
26,Conv,14x14x1024,3,2,1,1024,7x7x1024
27,Conv,7x7x1024,3,1,1,1024,7x7x1024
28,Conv,7x7x1024,3,1,1,1024,7x7x1024
29,FC,7x7x1024,,,,4096,
30,FC,,,,,4096,
31,FC,,,,,1470,
